Time,Distance_cm,Water_Percent,Pump
11:41:11,9,55,ON
11:41:11,10,50,ON
11:41:12,11,45,ON
11:41:12,10,50,ON
11:41:12,10,50,ON
11:41:13,10,50,ON
11:41:13,10,50,ON
11:41:13,9,55,ON
11:41:14,7,65,ON
11:41:14,9,55,ON
11:49:15,2,90,OFF
11:49:18,2,90,OFF
11:49:19,2,90,OFF
11:49:21,2,90,OFF
11:49:22,2,90,OFF
11:49:24,2,90,OFF
11:49:26,2,90,OFF
11:49:27,2,90,OFF
11:49:29,2,90,OFF
11:49:31,2,90,OFF
11:49:32,2,90,OFF
11:49:34,4,80,OFF
11:49:36,4,80,OFF
11:49:38,4,80,OFF
11:49:40,5,75,OFF
11:49:42,5,75,OFF
11:49:44,4,80,OFF
11:49:45,5,75,OFF
11:49:47,4,80,OFF
11:49:49,5,75,OFF
11:49:51,6,70,OFF
11:49:53,5,75,OFF
12:02:58,2,90,OFF
12:02:59,4,80,OFF
12:03:00,2,90,OFF
12:03:00,2,90,OFF
12:03:01,2,90,OFF
12:03:02,2,90,OFF
12:03:02,2,90,OFF
12:03:03,2,90,OFF
12:03:03,2,90,OFF
12:03:04,2,90,OFF
12:03:04,4,80,OFF
12:03:05,4,80,OFF
12:03:06,3,85,OFF
12:03:06,4,80,OFF
12:03:07,6,70,OFF
12:03:07,7,65,OFF
12:03:08,7,65,OFF
12:03:08,7,65,OFF
12:03:09,7,65,OFF
12:03:10,7,65,OFF
12:03:10,8,60,OFF
12:03:11,7,65,OFF
12:03:11,7,65,OFF
12:03:12,8,60,OFF
12:03:12,8,60,OFF
12:03:13,8,60,OFF
12:03:13,7,65,OFF
12:03:14,8,60,OFF
12:03:15,8,60,OFF
12:03:15,8,60,OFF
12:03:16,8,60,OFF
12:03:16,9,55,OFF
12:03:17,9,55,OFF
12:03:17,8,60,OFF
12:03:18,9,55,OFF
12:03:19,10,50,OFF
12:03:19,9,55,OFF
12:03:20,10,50,OFF
12:03:20,10,50,OFF
12:03:21,10,50,OFF
12:03:22,11,45,OFF
12:03:22,12,40,OFF
12:03:23,6,70,OFF
12:03:23,6,70,OFF
12:03:24,5,75,OFF
12:03:24,4,80,OFF
12:03:25,3,85,OFF
12:03:26,3,85,OFF
12:03:26,3,85,OFF
12:03:27,5,75,OFF
12:03:27,14,30,OFF
12:03:28,20,0,ON
12:03:28,27,0,ON
12:03:29,28,0,ON
12:03:30,29,0,ON
12:03:30,32,0,ON
12:03:31,32,0,ON
12:03:31,31,0,ON
12:03:32,34,0,ON
12:03:33,32,0,ON
12:03:33,31,0,ON
12:03:34,53,0,ON
12:03:34,6,70,ON
12:03:35,24,0,ON
12:03:36,25,0,ON
12:03:36,28,0,ON
12:03:37,30,0,ON
12:03:37,31,0,ON
12:03:38,20,0,ON
12:03:38,14,30,ON
12:03:39,10,50,ON
12:03:40,8,60,ON
12:03:40,8,60,ON
12:03:41,4,80,ON
12:03:42,5,75,ON
12:03:43,5,75,ON
12:03:43,4,80,ON
12:03:44,4,80,ON
12:13:03,6,70,OFF
12:13:04,3,85,OFF
12:13:05,2,90,OFF
12:13:05,4,80,OFF
12:13:06,4,80,OFF
12:13:07,4,80,OFF
12:13:07,4,80,OFF
12:13:08,4,80,OFF
12:13:08,6,70,OFF
12:13:09,10,50,OFF
12:13:10,11,45,OFF
12:13:10,14,30,OFF
12:13:11,12,40,OFF
12:13:11,12,40,OFF
12:13:12,14,30,OFF
12:13:13,14,30,OFF
12:13:13,14,30,OFF
12:13:14,14,30,OFF
12:13:15,14,30,OFF
12:13:15,14,30,OFF
12:13:16,13,35,OFF
12:13:16,14,30,OFF
12:13:17,13,35,OFF
12:13:18,12,40,OFF
12:13:18,11,45,OFF
12:13:19,10,50,OFF
12:13:19,10,50,OFF
12:13:20,9,55,OFF
12:13:21,9,55,OFF
12:13:21,9,55,OFF
12:13:22,8,60,OFF
12:13:22,8,60,OFF
12:13:23,7,65,OFF
12:13:23,7,65,OFF
12:13:24,6,70,OFF
12:13:25,6,70,OFF
12:13:25,6,70,OFF
12:13:26,6,70,OFF
12:13:27,5,75,OFF
12:13:27,5,75,OFF
12:13:28,5,75,OFF
12:13:29,6,70,OFF
12:13:30,5,75,OFF
12:13:30,4,80,OFF
12:13:31,4,80,OFF
12:13:32,4,80,OFF
12:13:32,4,80,OFF
12:13:33,4,80,OFF
12:13:34,5,75,OFF
12:13:34,4,80,OFF
12:13:35,4,80,OFF
12:13:36,4,80,OFF
12:13:36,5,75,OFF
12:13:37,5,75,OFF
12:13:38,5,75,OFF
12:13:38,6,70,OFF
12:13:39,8,60,OFF
12:13:40,11,45,OFF
12:13:40,7,65,OFF
12:13:41,8,60,OFF
12:13:42,8,60,OFF
12:13:43,6,70,OFF
12:13:43,7,65,OFF
12:13:44,7,65,OFF
12:13:45,7,65,OFF
12:13:45,7,65,OFF
12:13:46,6,70,OFF
12:13:47,8,60,OFF
12:13:47,8,60,OFF
12:13:48,8,60,OFF
12:13:49,8,60,OFF
12:13:49,8,60,OFF
12:13:50,9,55,OFF
12:13:51,9,55,OFF
12:13:51,6,70,OFF
12:13:52,4,80,OFF
12:13:53,3,85,OFF
12:13:53,10,50,OFF
12:13:54,14,30,OFF
12:13:55,16,20,ON
12:13:55,17,15,ON
12:13:56,16,20,ON
12:13:57,18,10,ON
12:13:58,19,5,ON
12:13:58,19,5,ON
12:13:59,19,5,ON
12:14:00,168,0,ON
12:14:01,205,0,ON
12:14:01,16,20,ON
12:14:02,15,25,ON
12:14:03,15,25,ON
12:14:03,16,20,ON
12:14:04,21,0,ON
12:14:05,21,0,ON
12:14:05,21,0,ON
12:14:06,22,0,ON
12:14:07,21,0,ON
12:14:07,22,0,ON
12:14:08,21,0,ON
12:14:09,21,0,ON
12:14:10,20,0,ON
12:14:10,16,20,ON
12:14:11,17,15,ON
12:14:12,14,30,ON
